Designator,Footprint,Quantity,Value,LCSC Part #
K57-2,MXOnly-1.75U-Hotswap,1,KEYSW,
K45-2,MXOnly-1.25U-Hotswap,1,KEYSW,
K31-2,MXOnly-1.25U-Hotswap,1,KEYSW,
K63,MXOnly-1U-Hotswap,1,KEYSW,
K62,MXOnly-1.5U-Hotswap,1,KEYSW,
K61,MXOnly-7U-Hotswap,1,KEYSW,
K60,MXOnly-1.5U-Hotswap,1,KEYSW,
K59,MXOnly-1U-Hotswap,1,KEYSW,
K58,MXOnly-1U-Hotswap,1,KEYSW,
K57,MXOnly-2.75U-Hotswap,1,KEYSW,
K56,MXOnly-1U-Hotswap,1,KEYSW,
K55,MXOnly-1U-Hotswap,1,KEYSW,
K54,MXOnly-1U-Hotswap,1,KEYSW,
K53,MXOnly-1U-Hotswap,1,KEYSW,
K52,MXOnly-1U-Hotswap,1,KEYSW,
K51,MXOnly-1U-Hotswap,1,KEYSW,
K50,MXOnly-1U-Hotswap,1,KEYSW,
K49,MXOnly-1U-Hotswap,1,KEYSW,
K48,MXOnly-1U-Hotswap,1,KEYSW,
K47,MXOnly-1U-Hotswap,1,KEYSW,
K46,MXOnly-1U-Hotswap,1,KEYSW,
K45,MXOnly-2.25U-Hotswap,1,KEYSW,
K44,MXOnly-2.25U-Hotswap,1,KEYSW,
K42,MXOnly-1U-Hotswap,1,KEYSW,
K41,MXOnly-1U-Hotswap,1,KEYSW,
K40,MXOnly-1U-Hotswap,1,KEYSW,
K39,MXOnly-1U-Hotswap,1,KEYSW,
K38,MXOnly-1U-Hotswap,1,KEYSW,
K37,MXOnly-1U-Hotswap,1,KEYSW,
K36,MXOnly-1U-Hotswap,1,KEYSW,
K35,MXOnly-1U-Hotswap,1,KEYSW,
K34,MXOnly-1U-Hotswap,1,KEYSW,
K33,MXOnly-1U-Hotswap,1,KEYSW,
K32,MXOnly-1U-Hotswap,1,KEYSW,
K31,MXOnly-1.75U-Hotswap,1,KEYSW,
K30,MXOnly-1.5U-Hotswap,1,KEYSW,
K29,MXOnly-1U-Hotswap,1,KEYSW,
K28,MXOnly-1U-Hotswap,1,KEYSW,
K27,MXOnly-1U-Hotswap,1,KEYSW,
K26,MXOnly-1U-Hotswap,1,KEYSW,
K25,MXOnly-1U-Hotswap,1,KEYSW,
K24,MXOnly-1U-Hotswap,1,KEYSW,
K23,MXOnly-1U-Hotswap,1,KEYSW,
